arm,engine,effort,wall_s,input_tok,cache_write,cache_read,output_tok,reasoning_tok,total_tok,cost_est_usd,exit,notes
grok46high,Grok 4.6 (high),high,895.0,230672,,230400,449,14,231121,8.047,0,"Grok 4.6 HIGH - the missing dial tier (low 15, medium 23, high ?, xhigh 27). RULE 1 GATE: run a fresh zero-token ACP session/new readback on the local grok CLI before launch; grok-4.6's enum is low|medium|high|xhigh and unknown values silently clamp to high, so only launch if the readback echoes ACTIVE high. SNAPSHOT-not-bill;reconstruct-from-sessions;slug=grok-4.6. Legs SEQUENTIAL. Cost = floor (session-log reconstruction). Judge = Codex gpt-5.5 (non-sibling).; FLOOR reconstructed from the CLI's session logs (4 sessions, 93 requests, ~14.05M cached-read, 230,734 peak ctx, rates 2/0.5/6 $/MTok); grok CLI reports context occupancy, not cumulative usage - NOT A BILL"
gpt56terraxhigh,GPT-5.6 Terra (xhigh),xhigh,1969.3,19215225,,18241792,54986,26310,19270211,6.2551,0,"Effort xhigh VERIFIED a first-party tier 2026-08-27: the OpenAI API 400-rejects a bogus effort and its error lists the enum none|minimal|low|medium|high|xhigh|max, so xhigh is a real accepted value (cannot silently clamp). Fills the high->xhigh->max dial. Legs SEQUENTIAL. Terra xhigh - the max/high/medium arms are running in the same wave. auth=chatgpt-account. Judge routes to grok."
grok46xhighseq,Grok 4.6 (xhigh) seq,xhigh,1144.2,257458,,257152,457,16,257917,6.8417,0,"RULE 1 GATE: fresh zero-token ACP readback on the local grok 1.0.5 before launch; grok-4.6 enum low|medium|high|xhigh, unknown clamps to high, only launch if readback echoes ACTIVE xhigh. SNAPSHOT-not-bill;reconstruct-from-sessions;slug=grok-4.6. SEQUENTIAL legs (un-dots the concurrent grok46 xhigh 08-12 row). Ran alongside Codex runs (separate subscription, no API contention; grok agents run one-at-a-time so no auth.json race). Cost=floor. Judge=Codex gpt-5.5.; FLOOR reconstructed from the CLI's session logs (3 sessions, 70 requests, ~11.81M cached-read, 257,641 peak ctx, rates 2/0.5/6 $/MTok); grok CLI reports context occupancy, not cumulative usage - NOT A BILL"
grok46mediumseq,Grok 4.6 (medium) seq,medium,596.8,194795,,194560,334,11,195130,2.5543,0,"RULE 1 GATE: fresh zero-token ACP readback on the local grok 1.0.5 before launch; grok-4.6 enum low|medium|high|xhigh, unknown clamps to high, only launch if readback echoes ACTIVE medium. SNAPSHOT-not-bill;reconstruct-from-sessions;slug=grok-4.6. SEQUENTIAL legs (un-dots the concurrent grok46medium 08-14 row). Ran alongside Codex runs (separate subscription, no API contention; grok agents run one-at-a-time so no auth.json race). Cost=floor. Judge=Codex gpt-5.5.; FLOOR reconstructed from the CLI's session logs (1 sessions, 31 requests, ~3.95M cached-read, 194,879 peak ctx, rates 2/0.5/6 $/MTok); grok CLI reports context occupancy, not cumulative usage - NOT A BILL"
gemini37flashseq,Gemini 3.7 Flash (Antigravity) seq,high,570.2,1057629,0,17577411,36203,21179,18671243,2.2473,0,"Sequential-legs re-run of gemini37flash_agy (08-25 ran CONCURRENT legs -> dotted wall). Same Antigravity CLI 1.1.20, model gemini-3.7-flash-high, effort high, Antigravity Google subscription sign-in. SEQUENTIAL legs for a comparable wall; supersedes the concurrent row. Ran alongside Codex runs (Google subscription, no API contention). Cost=token-estimate at Google list. Judge=Codex gpt-5.5 (non-sibling).;agy_status=SUCCESS;agy_turns=1;agy_init_model=gemini-3.7-flash-high;thinking_tok=21179"
gpt56solxhigh,GPT-5.6 Sol (xhigh),xhigh,3449.2,35727506,,34831616,85711,34704,35813217,24.4666,0,"Effort xhigh VERIFIED a first-party tier 2026-08-27: the OpenAI API 400-rejects a bogus effort and its error lists the enum none|minimal|low|medium|high|xhigh|max, so xhigh is a real accepted value (cannot silently clamp). Fills the high->xhigh->max dial. Legs SEQUENTIAL. Sol xhigh between high (34/105) and max (42/105). auth=chatgpt-account. Judge routes to grok (non-sibling).;keepalive_sweeps=2"
opus5xhigh,Opus 5 (xhigh),xhigh,1337.1,268,442708,39386847,82320,,39912143,24.5197,0,"Opus 5 xhigh between high (21/105) and max (27/105). Effort is a FIRST-PARTY Claude tier (Claude Code --effort xhigh, documented enum low|medium|high|xhigh|max). Legs SEQUENTIAL. Judge = Codex gpt-5.5 (non-sibling)."
hy4preview,Hy4 Preview,high,1762.9,607397,0,14399232,62289,,15068918,1.2387,0,"via=a local OpenRouter shim;upstream=OR tencent/hy4-preview (RELEASED 2026-08-28, day-one run; ctx 1,048,576 / max out 64,000; MoE 49B active of 770B, built for coding agents + tool-use). SINGLE host (Tencent Cloud) so no provider pin / no mixed-path. NOT a reasoning model - supported_parameters = tools, tool_choice, response_format, no reasoning; proxy started WITHOUT --require-reasoning so the CLI thinking param passes through and hy4 ignores it (smoke 2026-08-28 returned HY4_OK). Effort column INERT -> report DEFAULT. billing=REAL OpenRouter credits-delta (canonical, 'openrouter' triggers via_openrouter); list 0.834 in / 0.042 cache-read / 2.501 out per MTok. ctx 1M so model string carries [1m]. SEQUENTIAL legs. Judge=Codex gpt-5.5 (non-sibling).;openrouter_billed_usd=1.2387"
fable51max,Fable 5.1 (max),max,1804.7,322,571639,59293237,124711,,59989909,28.2076,0,"model=claude-fable-5-1;effort=max companion to fable51(high), added 2026-09-01. [1m] pins the 1M window; without it this CLI assumes 200k for an unrecognized model. Cache reads bill at 0.25/MTok."
fable51,Fable 5.1,high,1061.4,272,488814,39782468,59143,,40330697,19.0157,0,"model=claude-fable-5-1;effort=high;day-one run. [1m] pins the 1M window: this CLI does not recognize the model and otherwise assumes 200k, which would force premature autocompact (probe filed under effort-dial-probes/). Cache reads bill at 0.25/MTok, a quarter of the Fable 5 rate."
fable51low,Fable 5.1 (low),low,805.6,190,387791,19727744,35427,,20151152,11.5526,0,"model=claude-fable-5-1;effort=low companion to fable51(high)/fable51max, added 2026-09-02. [1m] pins the 1M window; without it this CLI assumes 200k for an unrecognized model. Cache reads bill at 0.25/MTok."
gemini38flash_agy,Gemini 3.8 Flash (Antigravity CLI),high,793.8,2514162,0,37187880,90242,60954,39792284,5.0131,0,"harness=Antigravity CLI (agy 1.1.22);model=gemini-3.8-flash-high;effort=high. high is the TOP tier agy offers for 3.8 Flash - `agy models` lists only low/medium/high, and --effort max is REJECTED outright (invalid --effort ""max"" (valid: low, medium, high)), so it cannot silently clamp. Prices are Google list through 2026-12-31 (0.75/3.75/0.075), same as 3.7 Flash.;agy_status=SUCCESS;agy_turns=1;agy_init_model=gemini-3.8-flash-high;thinking_tok=60954"
gpt6astramax,GPT-6 Astra (max),max,2233.0,8594803,,8178560,54542,19330,8649345,15.0681,0,"auth=chatgpt-account (same path as the Sol/Luna/Terra rows); slug=gpt-6-astra (developers.openai.com/api/docs/models/gpt-6-astra, released 2026-09-03: 1.05M ctx, effort low|medium|high|xhigh|max, no `none`); prices = standard short-context list ($10/$1/$50; >272K-input requests bill 2x in / 1.5x out - not modelled here, cost_kind stays list). Added 2026-09-03; not reachable on either auth path at add time (API: model_not_found; Codex+ChatGPT: 'not supported'), launched by an availability watcher. Judge routes to grok (non-sibling).;keepalive_sweeps=5"
gpt6astraxhigh,GPT-6 Astra (xhigh),xhigh,1432.2,6934182,,6671232,31975,5766,6966157,10.8995,0,"auth=chatgpt-account (same path as the Sol/Luna/Terra rows); slug=gpt-6-astra (developers.openai.com/api/docs/models/gpt-6-astra, released 2026-09-03: 1.05M ctx, effort low|medium|high|xhigh|max, no `none`); prices = standard short-context list ($10/$1/$50; >272K-input requests bill 2x in / 1.5x out - not modelled here, cost_kind stays list). Dial sweep added 2026-09-04; same slug, same chatgpt-account path and same grok (non-sibling) judge as the max row, so the only thing that moves across these four rows is the effort dial. Effort verified first-party per tier before each run (probe under effort-dial-probes/).;keepalive_sweeps=2"
gpt6astrahigh,GPT-6 Astra (high),high,1201.4,7017793,,6827648,25891,5196,7043684,10.0236,0,"auth=chatgpt-account (same path as the Sol/Luna/Terra rows); slug=gpt-6-astra (developers.openai.com/api/docs/models/gpt-6-astra, released 2026-09-03: 1.05M ctx, effort low|medium|high|xhigh|max, no `none`); prices = standard short-context list ($10/$1/$50; >272K-input requests bill 2x in / 1.5x out - not modelled here, cost_kind stays list). Dial sweep added 2026-09-04; same slug, same chatgpt-account path and same grok (non-sibling) judge as the max row, so the only thing that moves across these four rows is the effort dial. Effort verified first-party per tier before each run (probe under effort-dial-probes/).;keepalive_sweeps=5"
gpt6astramedium,GPT-6 Astra (medium),medium,834.6,4828745,,4475904,17929,2817,4846674,8.9008,0,"auth=chatgpt-account (same path as the Sol/Luna/Terra rows); slug=gpt-6-astra (developers.openai.com/api/docs/models/gpt-6-astra, released 2026-09-03: 1.05M ctx, effort low|medium|high|xhigh|max, no `none`); prices = standard short-context list ($10/$1/$50; >272K-input requests bill 2x in / 1.5x out - not modelled here, cost_kind stays list). Dial sweep added 2026-09-04; same slug, same chatgpt-account path and same grok (non-sibling) judge as the max row, so the only thing that moves across these four rows is the effort dial. Effort verified first-party per tier before each run (probe under effort-dial-probes/).;keepalive_sweeps=5"
gpt6astralow,GPT-6 Astra (low),low,1097.3,4741694,,4568192,16830,2020,4758524,7.1447,0,"auth=chatgpt-account (same path as the Sol/Luna/Terra rows); slug=gpt-6-astra (developers.openai.com/api/docs/models/gpt-6-astra, released 2026-09-03: 1.05M ctx, effort low|medium|high|xhigh|max, no `none`); prices = standard short-context list ($10/$1/$50; >272K-input requests bill 2x in / 1.5x out - not modelled here, cost_kind stays list). Dial sweep added 2026-09-04; low tier added 2026-09-05; same slug, same chatgpt-account path and same grok (non-sibling) judge as the max row, so the only thing that moves across these four rows is the effort dial. Effort verified first-party per tier before each run (probe under effort-dial-probes/).;keepalive_sweeps=4"
gpt56solmedium,GPT-5.6 Sol (medium),medium,1540.5,13886045,,13640960,23693,7101,13909738,8.7567,0,"auth=chatgpt-account;slug=gpt-5.6-sol; medium tier of the Sol dial (high 34 -> xhigh 39 -> max 42 already on the board), added 2026-09-07. Effort is a FIRST-PARTY Codex tier (model_reasoning_effort, the API 400-rejects unknown values and lists the enum none|minimal|low|medium|high|xhigh|max), preflight-confirmed served before the first leg (probe under effort-dial-probes/). Legs SEQUENTIAL. Judge routes to grok (non-sibling). Same slug, same chatgpt-account path and same judge as the other Sol rows, so the only thing that moves across the Sol rows is the effort dial.;keepalive_sweeps=2"
dsv41flashmax,DeepSeek V4.1 Flash (max),max,1523.4,354596,0,55728896,174734,,56258226,0.62,0,"upstream=DeepSeek FIRST-PARTY Anthropic-compatible endpoint https://api.deepseek.com/anthropic (no proxy, no aggregator - the arm's environment points Claude Code straight at DeepSeek, the musespark12 shape). MODEL ID: `deepseek-flash`, which DeepSeek's own pricing page maps to model version DeepSeek-V4.1-Flash, ctx 1M / max out 384K (the other served id, deepseek-v4-pro = V4-Pro-0813, is routed to V4.1 Flash from 2026-09-14). The CLI model string carries [1m] so the harness assumes a 1M window (dsv4flash autocompact-thrash lesson); the suffix is stripped on the wire - capture 2026-09-10 shows body model=deepseek-flash. *** EFFORT max IS A FIRST-PARTY TIER, VERIFIED ON THE WIRE *** Claude Code 2.1.267 sends --effort as output_config.effort (captured against a mock Anthropic endpoint: {""effort"":""max""}, thinking adaptive with no budget_tokens). DeepSeek documents that exact field - none|low|high|max, default high, minimal->low, medium/xhigh->high - and the endpoint 400-VALIDATES it (unknown variant is rejected with the enum listed), so a silent clamp of the grok45max kind cannot happen here. Probe + readback: effort-dial-probes/20260910-dsv41flash-deepseek-effort.txt. billing=REAL bill: DeepSeek sells prepaid credit and publishes no usage counter, so the runner snapshots /user/balance before and after each leg and writes the DROP as the leg's cost (deepseek_billed_usd in the notes, cost_est_usd in the row). List for context: input 0.30 cache-miss / 0.006 cache-hit / 1.20 output per MTok at PEAK, HALVED off-peak - peak is 01:00-04:00 and 06:00-10:00 UTC Mon-Fri, everything else is off-peak, so a list estimate depends on the clock and only the bill is a number. SEQUENTIAL legs. Judge=Codex gpt-5.5 (non-sibling).;deepseek_billed_usd=0.62"
dsv41flashhigh,DeepSeek V4.1 Flash (high),high,862.8,337339,0,31629312,106539,,32073190,0.18,0,"upstream=DeepSeek FIRST-PARTY Anthropic-compatible endpoint https://api.deepseek.com/anthropic (no proxy, no aggregator - the arm's environment points Claude Code straight at DeepSeek, the musespark12 shape). MODEL ID: `deepseek-flash`, which DeepSeek's own pricing page maps to model version DeepSeek-V4.1-Flash, ctx 1M / max out 384K. *** EFFORT high IS A FIRST-PARTY TIER (DeepSeek's documented default), REQUESTED EXPLICITLY AND VERIFIED ON THE WIRE *** The CLI model string carries [1m] so the harness assumes a 1M window (dsv4flash autocompact-thrash lesson); the suffix is stripped on the wire - capture 2026-09-10 shows the body carrying the bare id. Claude Code 2.1.267 sends --effort as output_config.effort (captured against a mock Anthropic endpoint; thinking adaptive with no budget_tokens). DeepSeek documents that exact field - none|low|high|max, default high, minimal->low, medium/xhigh->high - and the endpoint 400-VALIDATES it (unknown variant rejected with the enum listed), so a silent clamp of the grok45max kind cannot happen here. Probe + readback: effort-dial-probes/20260910-dsv41flash-deepseek-effort.txt. This is the dial companion to the published max row: on this exact path a thinking-volume sweep put high at 23960-35104 chars and max at 59923-96590 (n=3, DISJOINT), so the two tiers are measurably different work and this row is not a re-run of that one. billing=REAL bill: DeepSeek sells prepaid credit and publishes no usage counter, so the runner snapshots /user/balance before and after each leg and writes the DROP as the leg's cost (deepseek_billed_usd in the notes, cost_est_usd in the row). List is peak-rate context only and is HALVED off-peak (peak 01:00-04:00 and 06:00-10:00 UTC Mon-Fri), so a list estimate depends on the clock and only the bill is a number. SEQUENTIAL legs. Judge=Codex gpt-5.5 (non-sibling).;deepseek_billed_usd=0.18"
dsv4promax,DeepSeek V4-Pro (max),max,1174.3,364979,0,23861376,75259,,24301614,0.89,0,"upstream=DeepSeek FIRST-PARTY Anthropic-compatible endpoint https://api.deepseek.com/anthropic (no proxy, no aggregator - the arm's environment points Claude Code straight at DeepSeek, the musespark12 shape). MODEL ID: `deepseek-v4-pro`, which DeepSeek's own pricing page maps to model version DeepSeek-V4-Pro-0813, ctx 1M / max out 384K. THE SAME PAGE SAYS THIS ID STARTS ROUTING TO V4.1 FLASH ON 2026-09-14, so this row is only a Pro row because it ran 2026-09-10, before the switch; the launch gate reads the served model id back out of the response on every call. The board's existing 'DeepSeek V4-Pro' row (2026-08-01) measured the same model through OpenRouter at an inert default effort, so these two rows are the first look at Pro with a dial that binds. *** EFFORT max IS A FIRST-PARTY TIER, VERIFIED ON THE WIRE *** The CLI model string carries [1m] so the harness assumes a 1M window (dsv4flash autocompact-thrash lesson); the suffix is stripped on the wire - capture 2026-09-10 shows the body carrying the bare id. Claude Code 2.1.267 sends --effort as output_config.effort (captured against a mock Anthropic endpoint; thinking adaptive with no budget_tokens). DeepSeek documents that exact field - none|low|high|max, default high, minimal->low, medium/xhigh->high - and the endpoint 400-VALIDATES it (unknown variant rejected with the enum listed), so a silent clamp of the grok45max kind cannot happen here. Probe + readback: effort-dial-probes/20260910-dsv41flash-deepseek-effort.txt. billing=REAL bill: DeepSeek sells prepaid credit and publishes no usage counter, so the runner snapshots /user/balance before and after each leg and writes the DROP as the leg's cost (deepseek_billed_usd in the notes, cost_est_usd in the row). List is peak-rate context only and is HALVED off-peak (peak 01:00-04:00 and 06:00-10:00 UTC Mon-Fri), so a list estimate depends on the clock and only the bill is a number. SEQUENTIAL legs. Judge=Codex gpt-5.5 (non-sibling).;openrouter_billed_usd=0.0;cost_correction=the runner recorded $0.00 for both legs: it chose its billing meter by matching the word OpenRouter in this note (which refers to the board's older OpenRouter V4-Pro row) and so read the OpenRouter counter instead of DeepSeek's prepaid balance. Meter selection now comes from the environment. The per-leg brackets cannot be replayed, but the run driver's WHOLE-ARM bracket is a real credits delta on the correct meter: 18.00 -> 16.11, so $1.89 for this arm. The per-leg figure below is that bill ALLOCATED by each leg's token value at list; both legs ran in the same pricing window, so the 2x peak/off-peak split cancels out of the ratio. The arm total is a bill; the per-leg split is an allocation"
dsv4prohigh,DeepSeek V4-Pro (high),high,700.3,291912,0,12259200,46962,,12598074,0.48,0,"upstream=DeepSeek FIRST-PARTY Anthropic-compatible endpoint https://api.deepseek.com/anthropic (no proxy, no aggregator - the arm's environment points Claude Code straight at DeepSeek, the musespark12 shape). MODEL ID: `deepseek-v4-pro`, which DeepSeek's own pricing page maps to model version DeepSeek-V4-Pro-0813, ctx 1M / max out 384K. THE SAME PAGE SAYS THIS ID STARTS ROUTING TO V4.1 FLASH ON 2026-09-14, so this row is only a Pro row because it ran 2026-09-10, before the switch; the launch gate reads the served model id back out of the response on every call. The board's existing 'DeepSeek V4-Pro' row (2026-08-01) measured the same model through OpenRouter at an inert default effort, so these two rows are the first look at Pro with a dial that binds. *** EFFORT high IS A FIRST-PARTY TIER (DeepSeek's documented default), REQUESTED EXPLICITLY AND VERIFIED ON THE WIRE *** The CLI model string carries [1m] so the harness assumes a 1M window (dsv4flash autocompact-thrash lesson); the suffix is stripped on the wire - capture 2026-09-10 shows the body carrying the bare id. Claude Code 2.1.267 sends --effort as output_config.effort (captured against a mock Anthropic endpoint; thinking adaptive with no budget_tokens). DeepSeek documents that exact field - none|low|high|max, default high, minimal->low, medium/xhigh->high - and the endpoint 400-VALIDATES it (unknown variant rejected with the enum listed), so a silent clamp of the grok45max kind cannot happen here. Probe + readback: effort-dial-probes/20260910-dsv41flash-deepseek-effort.txt. billing=REAL bill: DeepSeek sells prepaid credit and publishes no usage counter, so the runner snapshots /user/balance before and after each leg and writes the DROP as the leg's cost (deepseek_billed_usd in the notes, cost_est_usd in the row). List is peak-rate context only and is HALVED off-peak (peak 01:00-04:00 and 06:00-10:00 UTC Mon-Fri), so a list estimate depends on the clock and only the bill is a number. SEQUENTIAL legs. Judge=Codex gpt-5.5 (non-sibling).;deepseek_billed_usd=0.48"
fable51medium,Fable 5.1 (medium),medium,598.8,1252,369404,3966740,31779,,4369175,7.2107,0,"model=claude-fable-5-1;effort=medium;the tier between the published low (29/105) and high (33/105) rows, filling the middle of the Fable 5.1 dial. [1m] pins the 1M window: this CLI does not recognize the model and otherwise assumes 200k, which would force premature autocompact (probe filed under effort-dial-probes/). Cache reads bill at 0.25/MTok, a quarter of the Fable 5 rate. Effort is a documented first-party Claude Code tier, requested explicitly and echoed by the CLI before the leg starts."
opus48max,Opus 4.8 (max),max,3822.8,394,833390,33181074,251136,,34265994,28.0796,0,"model=claude-opus-4-8;effort=max;the ceiling tier for Opus 4.8, whose only row on the board so far is the Jul 26 baseline at high (9/105). Same first-party Claude Code path as every other Anthropic row. Effort is a documented first-party tier, requested explicitly and echoed by the CLI before the leg starts; max is the top of that enum, so the row carries ceiling=True."
sonnet5max,Sonnet 5 (max),max,1974.7,380,748931,28688532,104564,,29542407,12.9847,0,"model=claude-sonnet-5;effort=max;the ceiling tier for Sonnet 5, whose only row on the board so far is the Jul 26 baseline at high. Same first-party Claude Code path as every other Anthropic row. Effort is a documented first-party tier: the CLI accepts it silently and answers an invented tier with 'Unknown --effort value ... Valid values: low, medium, high, xhigh, max', so the accept-list is enforced and max is the top of it - hence ceiling=True. Priced at the STANDING list rate, not the intro $2/$10 the Jul 26 row was costed at; that window closed 2026-08-31, so the two Sonnet rows are priced differently on purpose. SEQUENTIAL legs. Judge=Codex gpt-5.5 (non-sibling).;keepalive_sweeps=1;concurrent_with=repo 2-kimik3max;WALL_CONTENDED=this leg shared the machine with the leg(s) named above, so its wall figure includes local contention - contention can inflate this figure, not shrink it. Scores, tokens and cost are unaffected"
fable51xhigh,Fable 5.1 (xhigh),xhigh,1546.4,1442,720863,5477851,101168,,6301324,15.4531,0,"model=claude-fable-5-1;effort=xhigh;the last hole in the Fable 5.1 dial - the board already carries low (29/105), medium (21), high (33) and max (43), and xhigh sits between high and max in Claude Code's accept-list. Worth having precisely because this dial does NOT run in a straight line: medium came in below low, and the raw captures put the cause in the tool mix rather than the thinking (at medium the model worked through the shell and barely read the codebase). A fifth point says whether that was one run's behaviour or something the middle of this dial does. [1m] pins the 1M window: the CLI does not recognise this model and otherwise assumes 200k, forcing premature autocompact. Cache reads bill at 0.25/MTok, a quarter of the Fable 5 rate. Effort is a documented first-party Claude Code tier: the CLI accepts it silently and answers an invented tier with 'Unknown --effort value ... Valid values: low, medium, high, xhigh, max', so the accept-list is enforced and xhigh is in it. NOT the ceiling - max is. SEQUENTIAL legs. Judge=Codex gpt-5.5 (non-sibling).;keepalive_sweeps=2"
glm53zaimax,"GLM-5.3 (max, Z.ai API)",max,1011.8,366532,0,18895296,53500,,19315328,5.6613,0,"upstream=Z.ai FIRST-PARTY Anthropic-compatible endpoint https://api.z.ai/api/anthropic (no proxy, no aggregator - the arm's environment points Claude Code straight at Z.ai). MODEL ID: `glm-5.3`, text-only, 1M context / 128K max output; the CLI string carries [1m] so the harness assumes the full window and the suffix is stripped on the wire. The board's other GLM-5.3 row (Aug) ran through an aggregator at an inert default effort, so this is the first look at the model on its vendor's own path with the tier asserted. *** EFFORT max IS A FIRST-PARTY TIER *** Z.ai documents reasoning_effort as low|high|max with DEFAULT max, and states that reasoning cannot be disabled at all on this family - thinking.type accepts only `enabled`. Verified on the wire 2026-09-10 against `glm-5.3` ITSELF (the earlier pass used glm-5.3-flash, which 429s on this key and so proved nothing): on the Anthropic-compatible endpoint effort=max/high/low all return HTTP 200 with the served model reading back `glm-5.3`, while effort=bogus_zzz is REJECTED HTTP 400 code 1210 naming its accept-list - 'reasoning_effort must be one of: none, minimal, low, medium, high, xhigh, max'. A validated enum is what makes acceptance evidence: a silent clamp is not available to this endpoint. Note the shim's accept-list is WIDER than the model's documented tiers (the docs give low|high|max), so the list is the gateway's, not the model's - which is why the tier shipped here is one of the three the vendor documents. thinking.type=disabled is likewise rejected 400/1210 ('This model always engages in thinking and cannot be disabled; please use low, high, or max') on both the OpenAI- and Anthropic-compatible endpoints. NOTE FOR READERS OF THE DIAL: because max is also the documented DEFAULT, a 'default' run and a 'max' run on this path are the same run - this row asserts the tier explicitly rather than relying on that. billing=LIST ESTIMATE, NOT A BILL: Z.ai publishes no balance or usage endpoint (v4/user/balance, v4/usage, v4/account and v4/user/info all 404) and the key is on a plan rather than prepaid credit, so no credits delta exists to read; costed at the same published GLM-5.3 rates as the existing row, which keeps the two comparable. SEQUENTIAL legs. Judge=Codex gpt-5.5 (non-sibling)."
qwen38flashlow,Qwen3.8-Flash,low,2575.5,744,414529,34006104,101248,,34522625,0.6747,0,"harness=Claude Code headless against Alibaba's OWN Anthropic-compatible endpoint https://dashscope-intl.aliyuncs.com/apps/anthropic (NO local proxy, unlike every previous Qwen row on this board, which went Claude Code -> proxy -> OpenRouter -> Alibaba). Key DASHSCOPE_API_KEY via the ${VAR} indirection in clean_env. PROTOCOL VERIFIED 2026-09-11 before the arm was written, because 'Anthropic-compatible' is a claim and not a guarantee: tool_use returns a real tool_use block with stop_reason=tool_use; a tool_result multi-turn continuation answers from the tool output; SSE streaming emits the full message_start/content_block_delta/message_delta/message_stop sequence; thinking blocks come back as type=thinking; and prompt caching HONOURS cache_control (6769 tok cache_creation cold, then cache_read on two consecutive warm calls). The caching check is load-bearing for cost - the Kimi K3 wave showed a missing cache is a ~3x bill. EFFORT: the endpoint validates LOUDLY - output_config.effort 400-rejects an invented value AND names its accept-list (low, medium, high, xhigh, max), so it cannot silently clamp the way Moonshot's 200-for-anything endpoint does. Note the two DashScope surfaces do NOT share an accept-list: the OpenAI-compatible /compatible-mode/v1 surface also takes none and minimal, the Anthropic one rejects both. A dial is per serving path, so only the Anthropic surface - the one Claude Code ships on - was probed. MAGNITUDE PROBED 2026-09-11 on this exact surface, n=3 per tier, one fixed multi-step reasoning prompt, 32K cap, nothing truncated (receipt effort-dial-probes/20260911-qwen38flash-dashscope-anthropic.txt): the dial is REAL but it SATURATES. Mean output tokens with thinking included run low=3557, medium=4579, high=19329, xhigh=17934, max=16121. low and medium sit in bands that do not overlap the top three at all, and the 5.43x spread between the lowest and highest means clears the worst within-tier spread of 2.00x, so this route is NOT an inert dial - asking for max genuinely buys ~4.5x the thinking of low. BUT high, xhigh and max are mutually INDISTINGUISHABLE: sample ranges 13933-27933, 12523-24778 and 13767-19431 overlap almost entirely, and the means DECREASE as the nominal tier rises, which is noise rather than an inversion. So max is the top value this endpoint accepts and it binds against the bottom of the dial, while buying nothing measurable over high. Do NOT read this row as more thinking than a high row. Separately, the greedy fingerprint does not work here: four identical xhigh calls at temperature 0 returned four DIFFERENT thinking hashes (text hash stable), so thinking is non-deterministic on this endpoint and byte-comparison cannot resolve tier aliases - only distributions can, which is why this probe is n=3 and range-based. THIS IS THE LOW-EFFORT HALF OF A PAIRED COMPARISON - its sibling arm qwen38flash runs the same model on the same endpoint at max. Run because the max leg on repo 1 went VOID by ending its turn mid-plan without writing a report (stop_reason=end_turn, final sentence complete, so not truncation), and the probe says max thinks 16121 mean output tokens per response against low's 3557 - a budget that may be crowding out action on a small model. Sampling the two ENDS is deliberate: the probe showed high/xhigh/max mutually indistinguishable, so the middle of this dial carries no information. ctx 1,000,000 / max out 131,072, hence the [1m] suffix (bare model id = 200K assumption = autocompact thrash, dsv4flash lesson). BILLING: token-estimate at list, NOT a bill - DashScope exposes no credits API on this path. Rates from OpenRouter's Alibaba-endpoint listing for qwen3.8-flash (0.15 in / 0.20 cache-write / 0.016 cache-read / 0.47 out per MTok); that source is cross-checked on this board because for qwen3.8-max it lists 2.00/0.25/6.00, exactly the DashScope list rates the qwen38max arm already carries. Alibaba publishes no machine-readable price page and third-party roundups disagree (0.14/0.42 against 0.15/0.47), so treat the absolute cost as +/-10% and the RELATIVE cost - roughly 13x under qwen3.8-max on every axis - as the solid part.;keepalive_sweeps=1"
